Time,Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/hard and soft),Label (common/all),Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),T101,T102,T104,T106,T108,T110,T112,T114,T116,PDIC101,PDIC102,PDIC103,PIC101,A102,M102,A101,M101,A103,M103,R,P101,P102,AV101,AV103,AV104,AV105,AV106,AV107,AV108,AV109,TV101,H103_heating_power,H105_heating_power,H107_heating_power,H109_heating_power,H111_heating_power,H113_heating_power,TH101_SetPoint,TH101_Temperature,TH101_Start,TH101_Status,TH102_SetPoint,TH102_Temperature,TH102_Start,TH102_Status,TH103_SetPoint,TH103_Temperature,TH103_Start,TH103_Status,FI101_Pulses,PS102,PS103,PS104,LS101,LS102,LS103,LS104,HT_EN_0,HT_ON,T_ERROR_0,SP_OK
29/04/2023 10:12:26,0,0,0,0,0,0,0,0,110.32,110.81,109.49,108.69,108.62,110.18,108.85,108.14,91.46,0.877,0.105333,0,1396.50708,4.4,0.328331,0.4,0,0.515,-2.805642,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23,60,60,60,60,60,60,124,125,TRUE,FALSE,0,15.1,TRUE,FALSE,105,94.400002,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:12:56,0,0,0,0,0,0,0,0,110.76,111.23,110.02,109.22,109.31,110.63,109.57,105.95,91.33,0.864667,0.127667,0,1413.911133,4.4,0.328335,0.4,0,0.4958,-2.637924,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,60,60,60,60,60,60,125,124.800003,TRUE,FALSE,0,15.1,TRUE,FALSE,105,94.400002,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:13:26,0,0,0,0,0,0,0,0,110.81,111.3,109.95,109.12,109.15,110.52,109.04,107.55,91.39,0.882667,0.164333,0,1405.930664,4.4,0.258079,0.4,0,0.476,-2.480138,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,60,60,60,60,60,60,125,125,TRUE,FALSE,0,15.1,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:13:56,0,0,0,0,0,0,0,0,110.52,111.02,109.56,108.76,108.73,110.23,108.72,108.61,91.42,0.903667,0.150333,0,1389.205811,4.4,0.272762,0.4,0,0.4578,-2.435199,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22,60,60,60,60,60,60,125,124.900002,TRUE,FALSE,0,15.1,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:14:26,0,0,0,0,0,0,0,0,110.23,110.74,109.3,108.56,108.46,110.02,108.56,108.44,91.39,0.952,0.134333,0,1381.734863,4.41,0.205623,0.4,0,0.4384,-2.468743,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24,60,60,60,60,60,60,125,124.800003,TRUE,FALSE,0,15.1,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:14:56,0,0,0,0,0,0,0,0,110.57,111.06,109.92,109.17,109.19,110.5,109.72,107.68,91.22,0.946333,0.103,0.000333,1413.996094,4.41,0.236835,0.4,0,0.4028,-2.753658,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,60,60,60,60,60,60,125,124.800003,TRUE,FALSE,0,15.2,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:15:26,0,0,0,0,0,0,0,0,110.86,111.3,109.91,109.13,108.97,110.55,109.1,105.77,90.94,0.891667,0.125667,0.000333,1407.798584,4.41,0.205613,0.4,0,0.3846,-2.753667,0.8,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,60,60,60,60,60,60,125,125,TRUE,FALSE,0,15.2,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:15:56,0,0,0,0,0,0,0,0,110.65,111.13,109.77,108.97,108.87,110.39,108.82,108.42,90.98,0.914333,0.143333,0,1397.355957,4.42,0.258067,0.4,0,0.3684,-2.673999,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,60,60,60,60,60,60,125,125.099998,TRUE,FALSE,0,15.2,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:16:26,0,0,0,0,0,0,0,0,110.32,110.86,109.42,108.65,108.68,110.13,108.44,108.56,91.38,0.919,0.164667,0,1384.536377,4.42,0.391326,0.4,0,0.3514,-2.634323,0.8,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23,60,60,60,60,60,60,125,125,TRUE,FALSE,0,15.2,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
29/04/2023 10:16:56,0,0,0,0,0,0,0,0,110.4,110.88,109.6,108.87,108.98,110.26,109.01,108.28,91.34,0.911,0.110667,0.000333,1407.289062,4.43,0.462406,0.4,0,0.335,-2.578963,0.8,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22,60,60,60,60,60,60,125,124.900002,TRUE,FALSE,0,15.2,TRUE,FALSE,105,94.300003,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
