Time,Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/hard and soft),Label (common/all),Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),T101,T102,T104,T106,T108,T110,T112,T114,T116,PDIC101,PDIC102,PIC101,TV101,TH101_SetPoint,TH101_Temperature,TH102_SetPoint,TH102_Temperature,TH103_SetPoint,TH103_Temperature,A104,M104,A101,M101,A103,M107,M106,A106,A107,M103,F101,F102,F103,F104,AV101,AV104,AV105,AV106,AV107,AV108,AV109,FI101_Pulses,TH101_Start,TH101_Status,TH102_Start,TH102_Status,TH103_Start,TH103_Status,T_ERROR_0_C1,T201,T202,T204,T206,T208,T210,T212,PDIC201,PDIC202,PIC201,TV201,TH201_SetPoint,TH201_Temperature,TH202_SetPoint,TH202_Temperature,TH203_SetPoint,TH203_Temperature,A203,M203,AV201,AV203,AV205,AV207,AV208,FI201_Pulses,TH201_Start,TH201_Status,TH202_Start,TH202_Status,TH203_Start,TH203_Status,T_ERROR_0_C2
15:33:00,0,0,0,0,0,0,0,0,100.76,100.88,100.43,99.88,99.82,100.61,101.04,94.88,92.61,0.745333,0.421333,981.950378,0,135,135,0,15.4,125,96.300003,1.7,0.037958,70.349998,3.980885,3.03,0.044091,-0.337338,11.297,0.1201,3.744514,3.042039,2.869373,1.461351,4.339334, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.38,119.08,116.93,119.46,116.59,108.63,118.49,0.649333,0.263,981.56543,0,150,150,0,18.799999,0,18.1,4.695,2.846503, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:33:30,0,0,0,0,0,0,0,0,100.72,100.89,100.42,99.96,99.58,100.67,101.07,95.17,90.36,0.798667,0.454333,982.1203,0,135,135,0,15.4,125,96.300003,1.7,0.05163,70.349998,3.980885,3.06,0.084655,-0.241614,11.301,15.124,3.666426,3.042411,2.871485,1.487025,4.30002, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.34,119.05,116.9,119.45,116.6,108.64,118.49,0.669667,0.274667,981.525391,0,150,150,0,18.9,0,18.1,4.695,3.713242, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:34:00,0,0,0,0,0,0,0,0,100.72,100.89,100.43,99.98,99.7,100.67,101.12,95.07,92.21,0.724333,0.474333,981.780701,0,135,135,0,15.4,125,96.300003,1.7,0.054964,70.300003,4.056536,3.09,0.252502,-0.089685,11.299,15.127,3.744509,3.042516,2.860352,1.505621,4.324527, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.47,119.06,116.9,119.43,116.57,108.64,118.51,0.66,0.277,981.645752,0,150,150,0,19,0,18.1,4.695,170.719618, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:34:30,0,0,0,0,0,0,0,0,100.75,100.93,100.47,99.95,99.98,100.7,101.17,95.41,92.68,0.747333,0.493,981.780701,0,135,135,0,15.4,125,96.300003,1.7,0.053122,70.300003,4.056536,3.12,0.346465,0.01048,1.3053,15.13,3.78361,3.04222,2.867166,1.519922,4.288824, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.44,119.06,116.9,119.44,116.59,108.64,118.52,0.628333,0.264667,981.525391,0,150,149.899994,0,19.1,0,18.1,4.695,152.552726, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:35:00,0,0,0,0,0,0,0,0,100.82,100.96,100.5,100.01,100.08,100.64,100.87,94.98,91.94,0.759333,0.422,981.52594,0,135,135,0,15.4,125,96.400002,1.699,0.046901,70.199997,4.122241,3.15,0.465222,0.012456,11,15.131,3.744509,3.041857,2.863296,1.528897,4.238266, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.48,119.05,116.9,119.44,116.57,108.65,118.52,0.646333,0.252,981.56543,0,150,149.899994,0,19.200001,0,18.1,0.012,0, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:35:30,0,0,0,0,0,0,0,0,100.73,100.91,100.46,99.95,99.91,100.66,100.93,94.73,92.85,0.787333,0.45,982.289978,0,135,135,0,15.4,125,96.400002,1.699,-0.020563,70.199997,4.122241,3.18,0.461704,-7.052081,11.313,15.137,3.666431,3.041251,2.869576,1.534239,4.239808, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.6,119.07,116.91,119.44,116.59,108.64,118.55,0.635667,0.264333,981.525391,0,150,150,0,19.299999,0,18.1,0.012,0, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:36:00,0,0,0,0,0,0,0,0,100.79,100.91,100.47,99.99,99.66,100.62,100.98,94.61,92.37,0.66,0.502333,982.035339,0,135,135,0,15.4,125,96.400002,1.699,-0.025809,70.150002,4.101315,3.21,0.402219,0.326827,11.313,15.137,3.533575,3.041472,2.86777,1.538465,4.243029, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.56,119.06,116.89,119.45,116.6,108.64,118.55,0.632333,0.256667,981.645752,0,150,149.899994,0,19.4,0,18.1,0.012,0, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:36:30,0,0,0,0,0,0,0,0,100.81,100.91,100.46,99.93,99.8,100.62,101.15,94.52,92.9,0.764,0.454,981.69574,0,135,135,0,15.4,125,96.400002,1.699,-0.027277,70.150002,4.101315,3.24,0.330735,-1.525183,11.321,15.138,3.666434,3.041366,2.868309,1.54243,4.279448, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.49,119.03,116.89,119.42,116.61,108.65,118.55,0.627,0.260667,981.56543,0,150,150,0,19.5,0,18.1,0.014,-171.746872, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:37:00,0,0,0,0,0,0,0,0,100.76,100.9,100.45,99.98,99.64,100.72,100.8,94.53,90.68,0.783667,0.508333,981.950378,0,135,135,0,15.4,125,96.400002,1.699,-0.025809,70.099998,4.112053,3.28,0.297258,0.409871,11.326,15.138,3.744517,3.041623,2.866549,1.546275,4.239042, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.53,119.06,116.9,119.43,116.59,108.61,118.59,0.616667,0.278667,981.605591,0,150,150,0,19.6,0,18.1,0.016,-154.962869, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
15:37:30,0,0,0,0,0,0,0,0,100.75,100.91,100.46,99.99,99.86,100.65,101.15,94.73,92.5,0.872333,0.501667,982.205139,0,135,135,0,15.4,125,96.400002,1.699,-0.020563,70.099998,4.112053,3.31,0.236671,4.159826,11.33,15.14,3.78361,3.041074,2.870977,1.551286,4.2333, TRUE , FALSE , FALSE , FALSE , FALSE , TRUE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , TRUE , FALSE , FALSE ,119.72,119.05,116.89,119.44,116.6,108.67,118.59,0.620667,0.261333,981.485107,0,150,149.899994,0,19.6,0,18.1,16,0.086022, FALSE , FALSE , FALSE , FALSE , TRUE ,TRUE , TRUE , FALSE , TRUE , FALSE , FALSE , FALSE , FALSE 
