Time,Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/hard and soft),Label (common/all),Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),T101,T102,T104,T106,T108,T110,T112,T114,T116,PDIC101,PDIC102,PDIC103,PIC101,A102,M102,A101,M101,A103,M103,R,AV101,AV103,AV104,AV105,AV106,AV107,AV108,AV109,TV101,TH101_SetPoint,TH101_Temperature,TH101_Start,TH101_Status,TH102_SetPoint,TH102_Temperature,TH102_Start,TH102_Status,TH103_SetPoint,TH103_Temperature,TH103_Start,TH103_Status
15:05:22,0,0,0,0,0,0,0,0,174.13,184.81,160.77,107.86,83.19,99.02,97.12,93.92,83.43,0.514,1.127667,3.038666,1413.149414,1.3,5.700547,22,7.041889,0.321,0.576,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,20,203,204.300003,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:05:52,0,0,0,0,0,0,0,0,174.46,185.48,162,108.21,83.32,99.12,97.18,93.59,83.53,0.464333,1.088667,2.819,1414.847412,1.377,6.36003,22.247999,6.934533,0.324,0.544844,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,20,203,204,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:06:22,0,0,0,0,0,0,0,0,174.23,185.48,162.22,108.45,83.15,98.92,96.9,93.35,83.39,0.569333,1.075,2.919,1392.519043,1.423,6.694367,22.193001,6.975424,0.33,0.512881,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,21,203,203.800003,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:06:52,0,0,0,0,0,0,0,0,173.86,185.1,160.53,108.29,82.82,98.73,96.6,93.36,83.24,0.531,1.131667,2.759666,1384.368896,1.465,6.813992,22.132,6.788953,0.333,0.46208,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,21,204,203.5,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:07:22,0,0,0,0,0,0,0,0,173.66,185.05,158.19,108.05,82.83,98.64,96.53,93.46,83.28,0.48,1.12,2.913666,1390.736084,1.493,6.463255,22.073999,6.924367,0.341,0.54517,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,21,204,203.5,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:07:52,0,0,0,0,0,0,0,0,173.7,184.69,159.48,107.96,83.08,98.64,96.58,93.34,83.44,0.503,1.091667,2.934,1401.348389,1.56,5.840444,22.016001,7.072091,0.344,0.576,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,21,203,203.5,TRUE,FALSE,15,16.700001,TRUE,FALSE,90,89.900002,TRUE,FALSE
15:08:22,0,0,0,0,0,0,0,0,174.18,184.82,160.11,107.82,83.28,98.73,96.71,92.9,83.49,0.529667,1.076,3.004666,1419.516602,1.585,6.118359,21.959,7.021253,0.346,0.576,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,21,203,203.300003,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:08:52,0,0,0,0,0,0,0,0,174.55,183.85,159.61,107.99,83.54,98.8,96.9,92.56,83.59,0.534667,1.077,3.019666,1436.071777,1.658,6.306286,21.9,6.972804,0.35,0.559957,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,20,203,203.300003,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:09:22,0,0,0,0,0,0,0,0,174.88,185.14,158.35,107.93,83.36,98.76,96.79,92.54,83.55,0.512,1.086667,2.825,1401.518311,1.716,5.802007,21.843,6.941766,0.355,0.483995,0.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,20,202,203.199997,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,90,TRUE,FALSE
15:09:52,0,0,0,0,0,0,0,0,173.46,184.65,154.45,107.03,82.55,98.27,96.1,93.04,83.12,0.542667,1.135667,2.888666,1375.794189,1.75,5.801064,21.784,6.974209,0.363,0.486789,0.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,21,203,202.899994,TRUE,FALSE,15,16.799999,TRUE,FALSE,90,89.900002,TRUE,FALSE
