Time,Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/hard and soft),Label (common/all),Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),T101,T102,T104,T106,T108,T110,T112,T114,T116,PDIC101,PDIC102,PDIC103,PIC101,A102,M102,A101,M101,A103,M103,R,T103,T105,T107,T109,T111,T113,T115,P101,P102,AV101,AV103,AV104,AV105,AV106,AV107,AV108,AV109,TV101,H103_heating_power,H105_heating_power,H107_heating_power,H109_heating_power,H111_heating_power,H113_heating_power,TH101_SetPoint,TH101_Temperature,TH101_Start,TH101_Status,TH102_SetPoint,TH102_Temperature,TH102_Start,TH102_Status,TH103_SetPoint,TH103_Temperature,TH103_Start,TH103_Status,FI101_Pulses,PS102,PS103,PS104,LS101,LS102,LS103,LS104,HT_EN_0,HT_ON,T_ERROR_0,SP_OK
0:00:25,0,0,0,0,0,0,0,0,186.29,177.16,168.51,164.36,87.05,98.28,94.53,92.98,86.37,0,1.612666,4.774,1395.657959,0.031,-7.714617,36.610001,7.315167,2.375,0.425239,0.5,160.8,162.48,174.41,139.66,136.58,138.92,20.81,0, FALSE , TRUE , FALSE , FALSE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,208.899994, TRUE , FALSE ,0,20.9, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:00:55,0,0,0,0,0,0,0,0,185.84,177.01,168.68,164.1,86.97,98.15,94.49,93.21,86.17,0.000333,1.396,4.636666,1405.081787,0.072,-5.552888,36.5,7.364241,2.3784,0.465762,0.5,160.78,162.41,174.35,139.69,136.64,139.08,20.79,0, FALSE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE ,20,60,60,60,60,60,60,209,209, TRUE , FALSE ,0,20.9, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:01:25,0,0,0,0,0,0,0,0,186.6,176.52,168.36,163.87,87.55,98.11,94.41,93.26,86.22,0.000333,1.496333,4.928333,1393.790283,0.106,-5.429815,36.487999,7.41347,2.3842,0.559427,0.5,160.83,162.48,174.42,139.74,136.61,138.96,20.8,0, FALSE , TRUE , FALSE , FALSE , TRUE , FALSE , FALSE , TRUE , TRUE ,22,60,60,60,60,60,60,209,208.899994, TRUE , FALSE ,0,20.9, TRUE , FALSE ,95,94.900002, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:01:55,0,0,0,0,0,0,0,0,187.24,176.56,168.68,164.1,86.84,98.13,94.35,93.19,86.22,0.000333,1.446333,4.519333,1407.204346,0.144,-2.253319,36.428001,7.33207,2.388,0.559871,0.5,160.85,162.5,174.44,139.75,136.63,138.99,20.83,0, FALSE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,208.899994, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:02:25,0,0,0,0,0,0,0,0,186.49,176.15,168.38,163.94,86.9,98.19,94.37,93.1,86.16,0,1.528666,4.884333,1401.091553,0.252,2.383236,36.366001,7.304386,2.393,0.544455,0.5,161.02,162.62,174.6,139.89,136.62,138.96,20.84,0, FALSE , TRUE , FALSE , FALSE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,208.899994, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:02:55,0,0,0,0,0,0,0,0,186.07,176.06,168.63,164.03,86.93,98.26,94.47,92.99,86.08,0,1.421,4.433666,1411.958496,0.29,5.6965,36.304001,7.315175,2.3978,0.535147,0.5,160.82,162.46,174.43,139.74,136.66,138.99,20.81,0, FALSE , TRUE , TRUE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,208.899994, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:03:25,0,0,0,0,0,0,0,0,186.52,176.95,168.64,164.33,86.88,98.27,94.41,92.85,86.31,0,1.406333,4.793333,1408.053223,0.345,6.401068,36.242001,7.388431,2.402,0.568209,0.5,160.87,162.51,174.47,139.75,136.54,139.01,20.86,0, FALSE , TRUE , FALSE , FALSE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,209, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:03:55,0,0,0,0,0,0,0,0,187,176.87,168.88,164.69,87.19,98.29,94.48,92.71,86.34,0,1.425667,4.555666,1418.410889,0.404,6.503996,36.181999,7.40728,2.4064,0.55613,0.5,160.88,162.53,174.45,139.77,136.62,138.99,20.81,0, FALSE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE ,20,60,60,60,60,60,60,209,209.100006, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:04:25,0,0,0,0,0,0,0,0,186.68,177.16,168.59,164.06,86.76,98.34,94.47,92.74,86.28,0,1.458667,4.886333,1402.534912,0.449,6.846108,36.118,7.329131,2.4112,0.562088,0.5,160.88,162.52,174.47,139.76,136.63,139.02,20.9,0, FALSE , TRUE , FALSE , FALSE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,209, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,94.900002, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
0:04:55,0,0,0,0,0,0,0,0,186.92,176.66,168.57,164.04,86.94,98.1,94.46,92.87,86.08,0,1.387,4.508666,1406.694824,0.525,6.944306,36.057999,7.36244,2.415,0.526956,0.5,160.86,162.49,174.43,139.73,136.64,139.01,20.87,0, FALSE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE , TRUE , TRUE ,21,60,60,60,60,60,60,209,208.899994, TRUE , FALSE ,0,20.799999, TRUE , FALSE ,95,95, TRUE , FALSE ,TRUE , TRUE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , TRUE , TRUE , FALSE , FALSE 
